	a	b	c	d
ENST00000357985	0	0	0	0
ENST00000358268	0	0	0	0
ENST00000358356	0	0	0	0
ENST00000358455	14402.5882720408	5379.13978839278	14402.5882720408	5379.13978839278
ENST00000358918	0	0	0	0
ENST00000359341	0	0	0	0
ENST00000359568	32.7730829464874	8.83648564488741	32.7730829464874	8.83648564488741
ENST00000359624	0	0	0	0
ENST00000359726	0	0	0	0
ENST00000359759	0	0	0	0
ENST00000360214	0	0	0	0
ENST00000360525	740.311855455589	677.583412217682	740.311855455589	677.583412217682
ENST00000360542	0	0	0	0
ENST00000360697	482.370633601712	405.763220567549	482.370633601712	405.763220567549
ENST00000360731	0.0667623971825921	0.0995139059276597	0.0667623971825921	0.0995139059276597
ENST00000360770	0	0	0	0
ENST00000360938	1109.93214298732	1210.68823958663	1109.93214298732	1210.68823958663
ENST00000361093	1555.76107236326	0	1555.76107236326	0
ENST00000361371	266.456841754027	388.735795791528	266.456841754027	388.735795791528
ENST00000361534	1941.45476262933	545.199987147224	1941.45476262933	545.199987147224
ENST00000361802	0	0	0	0
ENST00000361866	412.387022274811	104.772507278253	412.387022274811	104.772507278253
ENST00000362077	0	0	0	0
ENST00000362160	0	0	0	0
ENST00000362728	0	23791.9009439076	0	23791.9009439076
ENST00000362828	0	0	0	0
ENST00000362936	0	0	0	0
ENST00000363092	0	0	0	0
ENST00000363343	0	0	0	0
ENST00000363884	0	0	0	0
ENST00000363922	0	0	0	0
ENST00000364155	0	0	0	0
ENST00000364942	0	0	0	0
ENST00000365114	0	0	0	0
ENST00000365369	0	0	0	0
ENST00000365469	0	0	0	0
ENST00000366093	1230.65734073676	0	1230.65734073676	0
ENST00000366423	0	5445.83115253546	0	5445.83115253546
ENST00000367071	0	0	0	0
ENST00000379571	0	0	0	0
ENST00000379960	161.094909190604	466.943139122398	161.094909190604	466.943139122398
ENST00000380008	0	0	0	0
ENST00000380010	0	0	0	0
ENST00000380095	0	0	0	0
ENST00000380221	488.222999952177	919.793882820342	488.222999952177	919.793882820342
ENST00000380276	0	0	0	0
ENST00000380328	0	0	0	0
ENST00000380486	0	458.025871377894	0	458.025871377894
ENST00000380588	0	0	0	0
ENST00000380604	0	0	0	0
ENST00000380612	0	0	0	0
ENST00000380618	0	0	0	0
ENST00000380620	0	0	0	0
ENST00000380631	0	0	0	0
ENST00000380634	1209.53770592764	0	1209.53770592764	0
ENST00000380637	0	0	0	0
ENST00000380671	0	0	0	0
ENST00000380708	0	0.00365063067894897	0	0.00365063067894897
ENST00000380713	0	0	0	0
ENST00000380747	0	0	0	0
ENST00000380748	0	0	0	0
ENST00000380749	0	0	0	0
ENST00000380800	0	0	0	0
ENST00000380900	3177.50175720116	2374.89892385461	3177.50175720116	2374.89892385461
ENST00000380931	0	0	0	0
ENST00000381132	0	0	0	0
ENST00000381135	0	0	0	0
ENST00000381151	980.824483850187	457.628019882105	980.824483850187	457.628019882105
ENST00000381181	523.136033654956	1080.97471400984	523.136033654956	1080.97471400984
ENST00000381283	0	0	0	0
ENST00000381284	0	0	0	0
ENST00000381285	0	0	0	0
ENST00000381291	0	0	0	0
ENST00000381318	110.842462228569	0	110.842462228569	0
ENST00000381540	0	0	0	0
ENST00000381554	0	0	0	0
ENST00000381679	403.534040905778	460.662867748124	403.534040905778	460.662867748124
ENST00000381692	0	0	0	0
ENST00000381815	0	1024.23069876055	0	1024.23069876055
ENST00000381831	0	0	0	0
ENST00000381839	0	0	0	0
ENST00000381947	0	0	0	0
ENST00000381995	0	0	0	0
ENST00000382238	0	0	0	0
ENST00000382264	0	0	0	0
ENST00000382348	0	0	0	0
ENST00000382357	0	0	0	0
ENST00000382373	0	0	0	0
ENST00000382375	1398.14704352922	1132.28382747373	1398.14704352922	1132.28382747373
ENST00000382377	691.637649484933	1210.62220574369	691.637649484933	1210.62220574369
ENST00000382378	417.606433039105	0	417.606433039105	0
ENST00000382491	0	4.92256513629542	0	4.92256513629542
ENST00000382499	0	0	0	0
ENST00000382549	1086.57060502729	0	1086.57060502729	0
ENST00000382699	0	0	0	0
ENST00000382751	727.492887068824	909.438254491675	727.492887068824	909.438254491675
ENST00000382822	0	0	0	0
ENST00000382826	0	0	0	0
ENST00000382828	0	0	0	0
ENST00000382830	0	0	0	0
ENST00000382835	0	0	0	0
ENST00000384075	0	0	0	0
ENST00000384369	0	0	0	0
ENST00000384370	0	0	0	0
ENST00000384418	0	0	0	0
ENST00000384685	0	0	0	0
ENST00000384745	0	0	0	0
ENST00000384772	0	0	0	0
ENST00000384906	0	0	0	0
ENST00000385060	0	0	0	0
ENST00000385128	0	0	0	0
ENST00000389124	1222.37948438787	1028.1640004793	1222.37948438787	1028.1640004793
ENST00000389125	0	0	0	0
ENST00000389194	2.32007826551	2.98088834313634	2.32007826551	2.98088834313634
ENST00000389195	601.694978265122	1289.75420388327	601.694978265122	1289.75420388327
ENST00000389690	0	0	0	0
ENST00000389861	0	0	0	0
ENST00000389863	0	0	0	0
ENST00000389995	0	0	0	0
ENST00000390235	0	0	0	0
ENST00000390689	0	0	0	0
ENST00000390690	0	0	0	0
ENST00000390834	0	0	0	0
ENST00000391177	0	0	0	0
ENST00000391262	0	0	0	0
ENST00000391307	0	0	0	0
ENST00000391617	0	0	0	0
ENST00000391618	0	0	0	0
ENST00000391620	0	0	0	0
ENST00000391621	0	0	0	0
ENST00000391624	0	0	0	0
ENST00000393804	1193.6881676608	0	1193.6881676608	0
ENST00000397184	0	2481.56170657635	0	2481.56170657635
ENST00000397628	0	0	0	0
ENST00000397637	0	398.49763624726	0	398.49763624726
ENST00000397638	0	0	0	0
ENST00000397648	0	0	0	0
ENST00000397679	667.840906569153	0	667.840906569153	0
ENST00000397680	0	0	0	0
ENST00000397682	0	0	0	0
ENST00000397683	0	0	0	0
ENST00000397691	0	0	0	0
ENST00000397692	5320.90690964162	0	5320.90690964162	0
ENST00000397694	0	0	0	0
ENST00000397701	0	1527.42342908551	0	1527.42342908551
ENST00000397708	0.000994877868881099	0.00225947124415579	0.000994877868881099	0.00225947124415579
ENST00000397728	1285.13815489365	0	1285.13815489365	0
ENST00000397743	0	0	0	0
ENST00000397746	0	0	0	0
ENST00000397748	0	0	0	0
ENST00000397763	0	0	0	0
ENST00000397787	0	0	0	0
ENST00000397826	0	2312.74994547825	0	2312.74994547825
ENST00000397841	1092.99171122452	0	1092.99171122452	0
ENST00000397846	3125.45044647571	0	3125.45044647571	0
ENST00000397850	0	0	0	0
ENST00000397852	3397.38060865191	0	3397.38060865191	0
ENST00000397854	0	0	0	0
ENST00000397857	0.280360277771455	3804.25408695534	0.280360277771455	3804.25408695534
ENST00000397886	5993.37860387464	2792.34441429971	5993.37860387464	2792.34441429971
ENST00000397887	136.467319068219	441.548095483502	136.467319068219	441.548095483502
ENST00000397893	3657.42588298477	9002.02120889025	3657.42588298477	9002.02120889025
ENST00000397898	0	0	0	0
ENST00000397907	0	0	0	0
ENST00000397911	0	0	0	0
ENST00000397916	0	0	0	0
ENST00000397928	0	0	0	0
ENST00000397932	486.1832630598	0	486.1832630598	0
ENST00000397956	0	0	0	0
ENST00000397961	0	0	0	0
ENST00000397994	0	0	0	0
ENST00000398058	912.444566717524	0	912.444566717524	0
ENST00000398061	2.65445322030537e-06	485.990244865365	2.65445322030537e-06	485.990244865365
ENST00000398063	0	0	0	0
ENST00000398078	1.86623332797667	0	1.86623332797667	0
ENST00000398081	0	1230.60809901113	0	1230.60809901113
ENST00000398085	0	3970.75318194782	0	3970.75318194782
ENST00000398098	0	0	0	0
ENST00000398116	0	0	0	0
ENST00000398132	0	0	0	0
ENST00000398133	0	0	0	0
ENST00000398137	0	0	0	0
ENST00000398158	0	2873.05515895688	0	2873.05515895688
ENST00000398165	0	0	0	0
ENST00000398168	0	0	0	0
ENST00000398208	0	0	0	0
ENST00000398224	0	0	0	0
ENST00000398225	0	0	0	0
ENST00000398227	0	0	0	0
ENST00000398229	0	0	0	0
ENST00000398232	0	0	0	0
ENST00000398234	0	0	0	0
ENST00000398236	0	0	0	0
ENST00000398341	302.954060614165	0	302.954060614165	0
ENST00000398343	0	1812.27142381154	0	1812.27142381154
ENST00000398352	0	0	0	0
ENST00000398367	1.69318455924013	1.73222242376517	1.69318455924013	1.73222242376517
ENST00000398397	0	939.086370950131	0	939.086370950131
ENST00000398405	0	0	0	0
ENST00000398431	0	0	0	0
ENST00000398437	0	0	0	0
ENST00000398449	0	0	0	0
ENST00000398457	0	1476.731016632	0	1476.731016632
ENST00000398497	2040.34624962148	0	2040.34624962148	0
ENST00000398499	0	0	0	0
ENST00000398505	0	671.700071861579	0	671.700071861579
ENST00000398511	0	0	0	0
ENST00000398548	287.554733945418	1007.6634887383	287.554733945418	1007.6634887383
ENST00000398585	0	0	0	0
ENST00000398598	4185.94041739345	15134.2984284253	4185.94041739345	15134.2984284253
ENST00000398600	1250.47676138437	0	1250.47676138437	0
ENST00000398632	600.19229300042	0	600.19229300042	0
ENST00000398646	0	0	0	0
ENST00000398647	1125.27119508131	0	1125.27119508131	0
ENST00000398652	0	0	0	0
ENST00000398714	0	0	0	0
ENST00000398753	0	0	0	0
ENST00000398897	0	0	0	0
ENST00000398905	0	0	0	0
ENST00000398907	0	0	0	0
ENST00000398910	0	0	0	0
ENST00000398911	0	0	0	0
ENST00000398919	0	0	0	0
ENST00000398925	0	0	0	0
ENST00000398927	0	0	0	0
ENST00000398928	0	0	0	0
ENST00000398930	0	0	0	0
ENST00000398932	0	0	0	0
ENST00000398934	0	0	0	0
ENST00000398938	0	436.018160676931	0	436.018160676931
ENST00000398948	0	0	0	0
ENST00000398956	0	0	0	0
ENST00000398960	0	0	0	0
ENST00000398998	0	2884.82448652812	0	2884.82448652812
ENST00000399000	397.200711619884	0	397.200711619884	0
ENST00000399001	0	538.399571440075	0	538.399571440075
ENST00000399010	936.324617565727	1562.54000433743	936.324617565727	1562.54000433743
ENST00000399017	650.5046365328	809.401212337225	650.5046365328	809.401212337225
ENST00000399098	0	0	0	0
ENST00000399102	0	0	0	0
ENST00000399103	0	0.0474811908050191	0	0.0474811908050191
ENST00000399120	838.789768574403	310.120308293682	838.789768574403	310.120308293682
ENST00000399135	0	1102.62156071586	0	1102.62156071586
ENST00000399136	0	0	0	0
ENST00000399137	0	0	0	0
ENST00000399139	2202.566548046	0	2202.566548046	0
ENST00000399149	0	2447.34869988341	0	2447.34869988341
ENST00000399151	983.152268221562	926.292230436037	983.152268221562	926.292230436037
ENST00000399191	0	0	0	0
ENST00000399201	0	0	0	0
ENST00000399205	0	0	0	0
ENST00000399207	0	0	0	0
ENST00000399208	0	0	0	0
ENST00000399212	0	0	0	0
ENST00000399215	635.707667987105	879.675161266614	635.707667987105	879.675161266614
ENST00000399237	0	0	0	0
ENST00000399240	0	0	0	0
ENST00000399272	779.583712984622	0	779.583712984622	0
ENST00000399284	0	0	0	0
ENST00000399286	0	0	0	0
ENST00000399289	0	0	0	0
ENST00000399292	0	0	0	0
ENST00000399295	0	822.306362984544	0	822.306362984544
ENST00000399299	0	0.317579312538727	0	0.317579312538727
ENST00000399312	3651.19549562342	0	3651.19549562342	0
ENST00000399338	5.5502562748e-06	1.01659555251931e-05	5.5502562748e-06	1.01659555251931e-05
ENST00000399349	0	0	0	0
ENST00000399352	0	0	0	0
ENST00000399353	0	0	0	0
ENST00000399355	0	890.065488387612	0	890.065488387612
ENST00000399358	0	0	0	0
ENST00000399367	0	0	0	0
ENST00000399442	0	0	0	0
ENST00000399784	0	0	0	0
ENST00000399804	871.837215892652	1328.53602129294	871.837215892652	1328.53602129294
ENST00000399889	0	0	0	0
ENST00000399899	0	0	0	0
ENST00000399907	0	0	0	0
ENST00000399909	0	0	0	0
ENST00000399913	0	0	0	0
ENST00000399914	0	0	0	0
ENST00000399921	0.0150158182474606	0.0075161495781359	0.0150158182474606	0.0075161495781359
ENST00000399925	0	0	0	0
ENST00000399926	0	0	0	0
ENST00000399928	448.407903898259	0	448.407903898259	0
ENST00000399934	0	0	0	0
ENST00000399935	0	0	0	0
ENST00000399947	0	0	0	0
ENST00000399973	0	0	0	0
ENST00000399975	0	0	0	0
ENST00000399976	0	0	0	0
ENST00000400014	0	0	0	0
ENST00000400043	0	0	0	0
ENST00000400075	501.373919185671	749.759726252881	501.373919185671	749.759726252881
ENST00000400087	0	0	0	0
ENST00000400090	0	0	0	0
ENST00000400093	0	0	0	0
ENST00000400094	1872.77285835908	0	1872.77285835908	0
ENST00000400099	2445.86850018876	0	2445.86850018876	0
ENST00000400117	0	0	0	0
ENST00000400127	0	0	0	0
ENST00000400128	0	0	0	0
ENST00000400131	0	0	0	0
ENST00000400135	0	0	0	0
ENST00000400165	0	0	0	0
ENST00000400166	0	0	0	0
ENST00000400169	0	0	0	0
ENST00000400178	0	0	0	0
ENST00000400183	0.000446487624752677	0.00045162362886907	0.000446487624752677	0.00045162362886907
ENST00000400199	264.147633362129	226.97040904874	264.147633362129	226.97040904874
ENST00000400202	0.0734124541518935	0.0506568061769855	0.0734124541518935	0.0506568061769855
ENST00000400211	0	0	0	0
ENST00000400274	0	0	0	0
ENST00000400304	0	0	0	0
ENST00000400305	0	0	0	0
ENST00000400308	0	0	0	0
ENST00000400309	0	0	0	0
ENST00000400310	0	0	0	0
ENST00000400314	0	0	0	0
ENST00000400337	581.320371314655	424.192185121864	581.320371314655	424.192185121864
ENST00000400353	342.007968144097	697.249961877084	342.007968144097	697.249961877084
ENST00000400362	1409.83153910216	553.352834552862	1409.83153910216	553.352834552862
ENST00000400365	0	0	0	0
ENST00000400368	0	0	0	0
ENST00000400372	0	0	0	0
ENST00000400374	0	0	0	0
ENST00000400375	0	0	0	0
ENST00000400377	0	0	0	0
ENST00000400379	0	0	0	0
ENST00000400385	286.189590947451	321.001838132086	286.189590947451	321.001838132086
ENST00000400421	0	0	0	0
ENST00000400423	0	171.092011769705	0	171.092011769705
ENST00000400424	0	0	0	0
ENST00000400427	0	0	0	0
ENST00000400454	0	0	0	0
ENST00000400477	0	0	0	0
ENST00000400485	4.33059362403845e-05	3.16446049022342e-05	4.33059362403845e-05	3.16446049022342e-05
ENST00000400532	1178.87871704496	549.568684922088	1178.87871704496	549.568684922088
ENST00000400546	0	0	0	0
ENST00000400558	0	0	0	0
ENST00000400559	0	0	0	0
ENST00000400562	0	1373.07022559628	0	1373.07022559628
ENST00000400564	642.33756864849	0	642.33756864849	0
ENST00000400566	0	0	0	0
ENST00000400577	0	0	0	0
ENST00000400583	0	0	0	0
ENST00000400819	0	0	0	0
ENST00000401402	0	0	0	0
ENST00000402202	2376.39971112459	0	2376.39971112459	0
ENST00000404019	0	0	0	0
ENST00000404220	0	0	0	0
ENST00000405436	3239.36323821371	1582.07121352951	3239.36323821371	1582.07121352951
ENST00000405964	1075.32701390819	1205.55783129304	1075.32701390819	1205.55783129304
ENST00000406229	0	0	0	0
ENST00000406413	0	0	0	0
ENST00000406538	0	0	0	0
ENST00000406845	0	0	0	0
ENST00000407739	0	0	0	0
ENST00000407780	766.220657430385	881.517021933992	766.220657430385	881.517021933992
ENST00000408471	0	0	0	0
ENST00000408910	423.651932602106	539.557746656456	423.651932602106	539.557746656456
ENST00000408914	783.927701587677	0	783.927701587677	0
ENST00000408989	0	0	0	0
ENST00000409416	0	0	0	0
ENST00000409758	1318.56465853473	2956.1896510543	1318.56465853473	2956.1896510543
ENST00000410005	0	0	0	0
ENST00000410635	0	0	0	0
ENST00000410986	0	0	0	0
ENST00000411146	0	0	0	0
ENST00000411330	0	0	0	0
ENST00000411355	0	0	0	0
ENST00000411427	1044.31058491451	0	1044.31058491451	0
ENST00000411460	0	0	0	0
ENST00000411496	0	1829.25110792803	0	1829.25110792803
ENST00000411566	0	0	0	0
ENST00000411605	0	0	0	0
ENST00000411651	0	0	0	0
ENST00000411694	0	0	0	0
ENST00000411828	0	0	0	0
ENST00000411867	0	0	0	0
ENST00000411932	742.360888539828	0	742.360888539828	0
ENST00000411943	0	0	0	0
ENST00000411956	3255.71947808776	1540.40749503388	3255.71947808776	1540.40749503388
ENST00000411989	0	0	0	0
ENST00000411998	1132.92119923774	1121.4940859794	1132.92119923774	1121.4940859794
ENST00000412102	0	0	0	0
ENST00000412240	0	0	0	0
ENST00000412426	0	0	0	0
ENST00000412442	0	0	0	0
ENST00000412526	0	0	0	0
ENST00000412579	0	0	0	0
ENST00000412604	0	0	0	0
ENST00000412833	0	0	0	0
ENST00000412906	0	1118.70664236645	0	1118.70664236645
ENST00000412914	0	0	0	0
ENST00000412942	0	0	0	0
ENST00000413017	3430.63969016263	0	3430.63969016263	0
ENST00000413131	0	0	0	0
ENST00000413190	0	0	0	0
ENST00000413645	0	0	0	0
ENST00000413718	0	0	0	0
ENST00000413721	0	0	0	0
ENST00000413758	954.233891241389	0	954.233891241389	0
ENST00000413778	0	0	0	0
ENST00000413813	2646.22741515325	5929.30252936793	2646.22741515325	5929.30252936793
ENST00000413862	6.77189238566211e-06	0	6.77189238566211e-06	0
ENST00000413881	0	0	0	0
ENST00000413933	0	0	0	0
ENST00000414079	0	0	0	0
ENST00000414189	0	0	0	0
ENST00000414486	0	0	0	0
ENST00000414582	0	0	0	0
ENST00000414617	0	0	0	0
ENST00000414659	0	0	0	0
ENST00000414699	0	0	0	0
ENST00000414818	0	0	0	0
