	target_id	pval	qval	test_stat	rss	degrees_free	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
32	ENST00000475639	0.0772569746259959	0.226942362963863	3.12168251745475	0.951796145660603	1	1.41919531119568	0.317265381886868	0.3077592929765	0.00950608891036775	0	0.00950608891036775
33	ENST00000609713	0.0819326750927931	0.233383983597653	3.02614092295331	1.1113330493323	1	1.39776696663861	0.370444349777432	0.368031303969767	0.00241304580766449	0	0.00241304580766449
34	ENST00000432988	0.0974745449304519	0.269488447748896	2.7463856643391	1.06282268646218	1	1.61610566880998	0.354274228820727	0.386989598825314	-0.0327153700045866	0	0
35	ENST00000330714	0.113725380142108	0.305433878095946	2.50167368172236	1.29229343461583	1	1.8646674554409	0.430764478205278	0.516571543306204	-0.0858070651009257	0	0
36	ENST00000455567	0.120512827375057	0.314672382590426	2.41064337883897	0.812631291505109	1	1.41317018419513	0.27087709716837	0.337101413937259	-0.066224316768889	0	0
37	ENST00000291688	0.162524210286115	0.39172501966397	1.95058142627642	1.11113998755461	1	1.71847699014175	0.370379995851536	0.569645528551828	-0.199265532700292	0	0
38	ENST00000358455	0.15844358455451	0.39172501966397	1.98901808992241	0.733647548357074	1	1.39070600301012	0.244549182785691	0.368849108046923	-0.124299925261231	0	0
39	ENST00000483977	0.162207288483871	0.39172501966397	1.95352700792937	0.900908455922893	1	1.88285809303255	0.300302818640964	0.461170207663424	-0.16086738902246	0	0
40	ENST00000361534	0.174011776085504	0.399650303521428	1.84803785422511	1.11345505290807	1	1.1485521596547	0.371151684302689	0.602506626345563	-0.231354942042874	0	0
41	ENST00000623744	0.174315557918921	0.399650303521428	1.84543249626661	0.423658122092188	1	1.55659962564251	0.141219374030729	0.229571183421375	-0.0883518093906453	0	0
42	ENST00000466134	0.182002038443674	0.407337895564413	1.7812000320037	1.28929338958168	1	1.39409329681212	0.429764463193895	0.723834137893729	-0.294069674699834	0	0
43	ENST00000400362	0.191580712613908	0.409286067856986	1.70541976489497	0.770972751369551	1	2.13711674277112	0.256990917123184	0.452072133347786	-0.195081216224603	0	0
44	ENST00000468392	0.189733415709744	0.409286067856986	1.71968641132564	2.18543477991582	1	1.28031481705988	0.72847825997194	1.2708333132848	-0.542355053312863	0	0
45	ENST00000478268	0.226876881508932	0.473920596929769	1.46033465275792	0.404767778058008	1	1.69963796597624	0.134922592686003	0.277174671773749	-0.142252079087747	0	0
46	ENST00000466846	0.232274123022677	0.474647120959384	1.42688108004088	0.680435552332167	1	1.37488245014164	0.226811850777389	0.476869139166573	-0.250057288389184	0	0
47	ENST00000496462	0.252443155653362	0.504886311306724	1.30973215622776	0.349596264198541	1	1.79662457385212	0.11653208806618	0.266921952352024	-0.150389864285844	0	0
48	ENST00000340344	0.268132128396547	0.525092084776572	1.2262778618791	0.0999808506738093	1	2.75445097015828	0.0333269502246031	0.0815319706747396	-0.0482050204501365	0	0
49	ENST00000398548	0.27589044743784	0.529259225697081	1.18722289688494	1.24501897223172	1	1.57642246690637	0.415006324077241	1.04868173912281	-0.633675415045573	0	0
50	ENST00000398598	0.282307508146411	0.530738115315253	1.15594785257622	1.58601755423181	1	3.27852588058433	0.528672518077269	1.37204939712211	-0.843376879044845	0	0
51	ENST00000481883	0.296394026373084	0.546294872138626	1.0903484055109	0.303585132645004	1	1.47466596316123	0.101195044215001	0.278429473653198	-0.177234429438197	0	0
52	ENST00000347667	0.323918462124585	0.585544912302135	0.973058976431331	0.477329299845657	1	1.51283659169678	0.159109766615219	0.490545086584833	-0.331435319969615	0	0
53	ENST00000270112	0.394584711068799	0.695413729499614	0.724766918421087	0.210788322354027	1	1.75600558413358	0.0702627741180089	0.29083601499532	-0.220573240877311	0	0
54	ENST00000399120	0.405076813659446	0.695413729499614	0.693203708652177	0.772575108645494	1	1.49592109915101	0.257525036215165	1.11449938741332	-0.856974351198158	0	0
55	ENST00000448927	0.406891011941263	0.695413729499614	0.687866501658222	0.163077748675217	1	1.81928972564329	0.0543592495584056	0.237077613580672	-0.182718364022267	0	0
56	ENST00000342449	0.416164657380087	0.698562103459432	0.661120459684077	0.0746521775646354	1	2.72672848402182	0.0248840591882118	0.112917663447156	-0.0880336042589438	0	0
57	ENST00000427447	0.47185481505495	0.778146537108163	0.517629056393831	0.220592258496484	1	1.4875048827843	0.0735307528321614	0.426158956441289	-0.352628203609127	0	0
58	ENST00000405436	0.484059333443731	0.784509954201909	0.489704088573577	0.407646367059615	1	1.54537786876206	0.135882122353205	0.832434069004852	-0.696551946651647	0	0
59	ENST00000646548	0.492525142255859	0.784701074102555	0.471005092089029	0.101112065624833	1	2.46441482020096	0.0337040218749442	0.214672977687724	-0.18096895581278	0	0
60	ENST00000270139	0.555067908909871	0.805551439161201	0.348316077711011	0.0891978795230911	1	1.65791311299221	0.029732626507697	0.256083153293591	-0.226350526785894	0	0
61	ENST00000332512	0.553341249323378	0.805551439161201	0.351365358864306	0.0922785418521505	1	1.60514153354533	0.0307595139507168	0.262628456460296	-0.231868942509579	0	0
62	ENST00000344691	0.557030250483809	0.805551439161201	0.344872297349722	0.236984855327201	1	2.56311966088969	0.0789949517757335	0.687166980787914	-0.608172029012181	0	0
63	ENST00000382751	0.530180414635412	0.805551439161201	0.394045747184789	0.0454007678471107	1	2.40335878241703	0.0151335892823702	0.115216997446289	-0.100083408163919	0	0
64	ENST00000439274	0.53010951525136	0.805551439161201	0.394181617270425	0.515504166078702	1	1.42144412688901	0.171834722026234	1.30778337571496	-1.13594865368873	0	0
65	ENST00000467358	0.552471464646283	0.805551439161201	0.352908204869288	0.0496647397906547	1	2.10412286015178	0.0165549132635516	0.140729909663194	-0.124174996399642	0	0
66	ENST00000290299	0.566478900596969	0.80680328266841	0.328609692459317	0.448714245973382	1	2.15745241139057	0.149571415324461	1.36549303404657	-1.21592161872211	0	0
