Gene	SRR493366	SRR493367	SRR493368	SRR493369	SRR493370	SRR493371
"6194"	1671.86822522125	1719.54234748869	1644.75958697738	1444.23367295733	1455.32309783482	1417.21034403546
"6122"	1586.63799902897	1568.04802399909	1539.30380080614	1549.01000804683	1561.55636331089	1540.18803983103
"6208"	1712.60938814282	1596.2519755828	1619.18765469448	1458.963922656	1503.29293258751	1431.35092919094
"6158"	1460.23587100414	1509.59668453436	1508.41152278607	1565.91766233528	1565.87312931876	1601.28979878944
"6188"	1653.04349051855	1639.78853626081	1593.47499264552	1411.0428170099	1400.38768346621	1354.805048454
"6154"	1697.70667427789	1750.6542933298	1609.52954042303	1296.7638394824	1346.75634621698	1235.54919066503
"6135"	1736.42011270873	1760.12730236633	1691.96435312732	1231.24298211185	1282.06142498823	1224.23207796049
"6228"	1512.60943775705	1557.57982359706	1499.24000705012	1366.31320192457	1426.49650698127	1393.42413254187
"6139"	1586.3997628553	1524.13540675198	1504.39285662135	1404.30232935326	1392.81971236701	1300.93111726607
"6206"	1593.28472048796	1587.60958172714	1512.60255881936	1357.6556501676	1324.09722092072	1262.69492634356
"6129"	1548.59262390333	1505.43252635444	1476.21544399897	1357.81553569534	1397.55775057717	1299.50995968264
"6170"	1624.31030615681	1625.68449405886	1511.81645004264	1283.07709864746	1286.21092431938	1186.27416379693
"6204"	1562.57934050158	1478.19072455757	1485.00312487355	1299.1859277247	1323.9407448742	1223.85524236139
"9349"	1431.04727088417	1451.55737584968	1352.38906477754	1400.58277955782	1387.08203006328	1342.22613465108
"6161"	1573.32915131049	1538.02369715963	1521.75679906008	1243.61123548921	1263.02039632921	1222.1399204463
"6141"	1341.89217014769	1352.6065756995	1350.28721997353	1360.34488945741	1254.17086413203	1316.68739609244
"6227"	1507.97258883822	1480.88173225417	1403.08954362118	1229.02792028392	1158.30873321723	1159.09882344433
"6128"	1377.90962932042	1430.65709903638	1389.87641377328	1220.71143457615	1251.51766238233	1221.10848419301
"6167"	1458.14407647658	1393.44442688992	1349.15884724058	1221.96178413515	1217.85095354975	1151.87398558866
"6142"	1387.85978869957	1389.29114075329	1375.04414376761	1152.83133482051	1185.99461522427	1172.30526288306
"6156"	1340.84840963643	1337.41054146704	1273.68439277625	1172.90354623818	1221.58191589368	1129.3888608889
"6201"	1281.72688468555	1332.92672451941	1264.3044389251	1209.55444978652	1192.64983747105	1174.84102462673
"6224"	1298.85787000499	1295.38824026164	1222.04500533289	1193.73202082294	1215.43729302708	1167.66531082809
"6176"	1355.39058737299	1361.52837531836	1317.36405703113	1138.70599652333	1105.75974220299	1077.52646770843
"11224"	1464.8562774173	1405.31414108333	1340.61839991466	1016.21536483052	1010.71768301007	977.138012426991
"6202"	1311.82138675033	1348.93397983032	1288.68940383848	1020.80164578933	1039.47331620827	984.341426445605
"6169"	1226.50057726579	1232.47808589733	1159.19466028246	1134.51108374679	1126.08684965154	1059.98715738174
"3921"	1351.57476467405	1335.83780284213	1300.51916502967	973.785412420076	989.888950507075	935.253506128997
"6136"	1211.2506249022	1195.36561962717	1141.89187839481	1094.84784687694	1062.99888662617	1008.29509562697
"6189"	1236.741293839	1199.32674944193	1123.00204431558	993.364235950958	1035.67913653132	933.663007324659
"4736"	1092.20414509209	1150.62533258822	1104.95384248077	1020.29100864812	1056.09549677127	1044.53541123819
"7311"	1085.2994580467	1107.74932898479	1050.4738315042	1067.81331693446	1046.21565174822	1036.21359906069
"6165"	1070.01749553468	1134.0567158196	1003.19936176563	1083.96639265834	1050.5155921741	1041.63725645729
"6159"	1104.46828856798	1107.0628748383	1120.28408523242	985.038688713184	984.841814278998	981.671188642231
"6210"	1220.61012782687	1063.05645954733	1055.52505541126	961.128190655879	1040.36245087164	913.195699345594
"6164"	1064.86045216889	1074.65705969379	1007.22564529938	1019.12726071244	1038.13391978615	980.124783861883
"6209"	1068.24646288651	1121.76413750828	1095.8309702685	968.988465572426	941.384571879417	958.165693407351
"6125"	1085.52881549136	1106.22035025947	1033.23531812857	962.137824696615	952.332211017834	936.102507551982
"6233"	1099.3673367662	1104.40449983572	1057.38525619512	954.828114930208	944.173179200682	895.022064255143
"6152"	1090.49785014696	1100.99094861851	1026.80206353619	918.726322155551	911.892062086297	872.7759447229
"6181"	1060.55788640662	1105.54053456495	1083.27070800008	924.618479583668	881.862690774212	863.957315033814
"6191"	975.809326759237	964.892101655153	923.896598320619	968.262466265394	1006.52034152716	933.528554580533
"6217"	1032.66865186552	1039.76805281344	1006.01089556604	904.93779018753	898.979308938275	874.210048329447
"6193"	1007.17136731874	975.460890116849	1006.59003727993	869.649413546619	861.708582053239	850.022361643168
