	SRR493366	SRR493367	SRR493368	SRR493369	SRR493370	SRR493371
AASDHPPT	35.0778784573417	39.223471793629	36.3114469490112	44.697716467351	43.5412944313609	49.5194214450932
AASS	5.35631588247037	5.70051470990888	5.46199315107743	6.36109062284739	7.02168942713384	6.60760480802882
AATF	36.5417488628718	37.7236573954888	37.4707535851939	35.9979991759547	32.9928202040223	34.5975761049072
AATK	0.13147569253099	0.273127226920466	0.214360217199378	0.57549054530854	0.0394124179661481	0.129001213181164
ABAT	6.46039759066604	5.60164613375514	6.2513366296947	4.2635321446353	5.52367882277236	4.27067292124661
ABBA01000935.1	0	0	0	0	0	0
ABBA01000935.2	0	0	0	0	0	0
ABBA01006766.1	0	0	0	0	0	0
ABBA01026962.1	0	0	0	0	0	0
ABCA1	17.6425609121809	16.8419165305227	14.4856941820355	41.8967806173576	40.6469725174525	39.6304789207609
ABCA10	0	0.116967355891856	0.64662754441265	0.204377221387053	0.214158916818233	0.214847483688721
ABCA11P	2.45666392020188	2.64952477993363	1.1436603346426	1.21654590375179	1.14911324114664	1.14392513787937
ABCA12	0.0932361470513171	0.0818193731719148	0.0498093883232739	0.095229038273044	0.11324207558671	0.0650905922796495
ABCA13	0.137723649998752	0.0874740826966026	0.299120880368556	0.148200751764046	0.0657283725579001	0.112619486696309
ABCA17P	1.28481880907936	0.869066689418022	0.384675749211579	0	0.715977515184882	0.863813412303134
ABCA2	18.2442941850018	16.2914713151725	18.9683500669263	21.5777698700829	17.4674838492525	19.9555624121597
ABCA3	1.13119688574606	1.27420813403219	1.30438322746539	0.655229024506866	0.375359790481808	0.808397159329442
ABCA4	0.035695885451402	0.2147354974167	0.100895747015286	0	0.013552090462203	0.538855720425048
ABCA5	3.7638486998017	0.953327889778727	2.25709608340724	3.02555121605934	2.3002249073146	2.31165708213764
ABCA6	0.205857809290473	0.0139755634560403	0.088360739345117	0.494454511287203	0.280191979642994	0.331319877236376
ABCA7	2.74824767344939	1.09285164117178	2.07852699465072	3.15563538209591	5.31147844267341	3.25064786050835
ABCA8	2.37624459603747	1.75764516579988	2.2421387852429	2.72248373443973	3.14561290437651	3.09967751824338
ABCA9	0.377862444013714	0.317384959196412	0.467249340873942	0.434404578970934	0.653036949577599	0.64719735738661
ABCB1	0.856522129556346	0.579459983546156	1.13513805152622	2.17410444055577	2.46125070065147	1.92138035199655
ABCB10	10.7146834784051	9.55457991387986	10.0547678975554	2.72442559062219	3.43926484175574	2.88682581197417
ABCB10P1	0	0	0	0	0	0
ABCB10P3	0	0	0	0	0	0
ABCB10P4	0	0	0	0	0	0
ABCB11	0	0	0.0133514748298167	0	0	1.01716988826081
ABCB4	0	0	0.166013583615788	0	0.0499065987131332	0.0471312325705779
ABCB5	0	0.307115182130397	0.0158091393877844	0	0.0171688727305626	0.014852843833609
ABCB6	10.2550707447614	10.4576563948946	9.81803067697356	13.792481782891	14.0137397428415	17.0232447569835
ABCB7	7.16076099973172	9.38579009074697	7.43346270087135	9.28967388970865	9.5509945809913	10.513753522687
ABCB8	20.1485748722874	21.4217007594428	22.1044984854441	12.1870385067725	12.2178705259869	12.306050317906
ABCB9	7.47375947136623	8.05659465175522	7.83863142119676	7.96784497300633	6.35971419012883	7.19322729147039
ABCC1	80.9444642436502	77.194322376922	80.8813998052896	105.514225032426	111.131149419372	106.86225827622
ABCC10	24.8415718253981	16.0228778542248	19.0993119348744	23.525660675166	21.5300893712269	21.6188194444815
ABCC11	0	0.27089851392529	0.110116581880911	0.332061238355777	0.0309536268205557	0
ABCC12	0	0	0.213845164741443	0	0	0
ABCC13	0	0	0	0.0421412638967622	0.0623502082236999	0
ABCC2	1.12599287153027	0.16139038560755	0.429619755127285	0.993258994804215	0.505118514635836	0.252689115970215
ABCC3	10.4628144495546	11.2680718335709	10.0637781145587	6.19835534580905	6.05234042942902	6.84032422246407
ABCC4	51.990731959436	49.1356400343744	53.2078950565335	187.964572962063	182.560695896721	194.852879962491
ABCC5	15.1658183896794	13.2605147421422	15.1028165777313	27.549677123689	25.0376145940642	29.5941580186991
ABCC6	1.84318911347783	1.39209050251784	1.80023142626115	0.993930329474832	1.47171229789871	0.702149819607277
ABCC6P1	0.369780249679607	0	0.0330887362368682	0.286252987985058	0	0
